Day,Month,Year,Time,Station,Particle,Reading
28,5,2013,8,Skopje_Karpos,PM10,41.08
23,5,2013,12,Skopje_Karpos,PM10,28.77
21,5,2013,9,Skopje_Karpos,PM10,36.39
7,6,2013,20,Skopje_Mrsevci,PM10,
12,6,2013,7,Skopje_Miladinovci,PM10,
21,5,2013,19,Skopje_Miladinovci,PM10,30.96
29,5,2013,20,Skopje_Mrsevci,PM10,
1,6,2013,21,Skopje_Karpos,PM10,
26,5,2013,14,Skopje_Rektorat,PM10,42.07
19,5,2013,8,Skopje_Lisice,PM10,13.97
26,5,2013,9,Skopje_Centar,PM10,
30,5,2013,3,Skopje_Miladinovci,PM10,128.01
19,5,2013,9,Skopje_Rektorat,PM10,2.76
11,6,2013,24,Skopje_Miladinovci,PM10,
22,5,2013,23,Skopje_Miladinovci,PM10,87.75
25,5,2013,5,Skopje_Rektorat,PM10,41.19
13,6,2013,13,Skopje_Rektorat,PM10,71.9
29,5,2013,6,Skopje_Rektorat,PM10,26.95
11,6,2013,21,Skopje_Centar,PM10,
13,6,2013,22,Skopje_Mrsevci,PM10,
20,5,2013,23,Skopje_Rektorat,PM10,74.23
27,5,2013,19,Skopje_Lisice,PM10,20.16
5,6,2013,17,Skopje_Centar,PM10,
11,6,2013,4,Skopje_GaziBaba,PM10,205.18
22,5,2013,15,Skopje_Rektorat,PM10,19.25
18,5,2013,6,Skopje_GaziBaba,PM10,86.49
23,5,2013,20,Skopje_Lisice,PM10,26.35
24,5,2013,4,Skopje_Miladinovci,PM10,19.27
1,6,2013,17,Skopje_Karpos,PM10,
31,5,2013,15,Skopje_GaziBaba,PM10,67.04
18,5,2013,19,Skopje_Lisice,PM10,51.2
24,5,2013,24,Skopje_Centar,PM10,
18,5,2013,17,Skopje_Centar,PM10,43.14
11,6,2013,22,Skopje_Centar,PM10,
24,5,2013,1,Skopje_GaziBaba,PM10,98.07
